iter	Passed	Remaining
0	1	1626
1	3	1516
2	4	1442
3	5	1452
4	7	1468
5	9	1619
6	12	1713
7	13	1661
8	14	1617
9	16	1584
10	17	1552
11	18	1537
12	29	2273
13	31	2227
14	33	2169
15	34	2111
16	36	2084
17	39	2137
18	40	2099
19	43	2108
20	45	2109
21	46	2078
22	48	2052
23	50	2038
24	51	2010
25	52	1979
26	56	2030
27	59	2068
28	61	2058
29	63	2067
30	65	2053
31	66	2025
32	68	2008
33	69	1984
34	73	2036
35	75	2024
36	76	2001
37	78	1984
38	79	1964
39	80	1943
40	87	2054
41	90	2059
42	91	2047
43	93	2037
44	95	2019
45	96	2004
46	97	1984
47	102	2025
48	103	2011
49	104	1990
50	105	1969
51	107	1951
52	108	1933
53	109	1915
54	110	1898
55	111	1882
56	112	1867
57	117	1909
58	118	1897
59	120	1885
60	121	1873
61	122	1858
62	123	1843
63	125	1828
64	126	1814
65	127	1800
66	129	1796
67	131	1796
68	132	1791
69	134	1780
70	135	1771
71	136	1760
72	137	1750
73	139	1744
74	140	1737
75	142	1728
76	146	1760
77	148	1754
78	149	1746
79	151	1737
80	152	1728
81	153	1718
82	154	1704
83	155	1698
84	156	1688
85	158	1687
86	162	1702
87	163	1696
88	164	1687
89	165	1678
90	167	1669
91	168	1660
92	169	1651
93	170	1643
94	171	1634
95	173	1631
96	175	1637
97	177	1633
98	178	1625
99	179	1617
100	180	1609
101	181	1602
102	183	1594
103	184	1587
104	185	1579
105	186	1572
106	187	1568
107	190	1573
108	192	1571
109	193	1563
110	194	1556
111	195	1549
112	196	1543
113	197	1537
114	199	1531
115	200	1525
116	201	1518
117	202	1515
118	205	1519
119	206	1517
120	208	1511
121	210	1512
122	211	1510
123	213	1509
124	214	1503
125	215	1498
126	216	1491
127	220	1498
128	221	1497
129	222	1491
130	223	1485
131	224	1479
132	226	1473
133	227	1467
134	228	1462
135	229	1456
136	230	1451
137	231	1446
138	234	1451
139	236	1450
140	237	1445
141	238	1438
142	239	1433
143	240	1428
144	241	1423
145	242	1419
146	243	1414
147	244	1409
148	246	1405
149	247	1403
150	249	1403
151	250	1400
152	252	1395
153	253	1391
154	254	1386
155	255	1382
156	256	1378
157	257	1373
158	259	1370
159	260	1366
160	260	1359
161	263	1364
162	265	1362
163	266	1357
164	267	1353
165	268	1349
166	269	1345
